Saldos em Estoque;;;;;;;;;;;;
CODIGO;TP;GRUPO;DESCRICAO;U.M.;FL;ARMZ;SALDO EM ESTOQUE;EMPENHO PARA REQ/PV/RESERVA;ESTOQUE DISPONIVEL;VALOR EM ESTOQUE;VALOR EMPENHADO;DESCRICAO DO ARMAZEM
2140500020;MP;MP08;ADAPTADOR DE CONEXAO RF SMA MACHO PARA TIPO N MACHO 3600MM E TENSAO DE ATE 300 VDC (2140500020);UN;010108;28; 98,000 ; -   ; 98,000 ; 2.335,18 ; -   ;CDS PROJECTS ENERGY
3010315200;MP;MP08;"RELE PARA UMA TENSAO DE ATE 12V DC; 10A;CZT08A-02+NG102;ROHS (3010315200)";UN;010108;07; 12,000 ; -   ; 12,000 ; 134,43 ; -   ;LIVOLTEK - VENDAS
3010913120;MP;MP09;"DISJUNTOR DIN ;40A;3P;6KA;CDB6I;ROHS.(3010913120)";UN;010108;07; 4,000 ; -   ; 4,000 ; 71,47 ; -   ;LIVOLTEK - VENDAS
3010913140;MP;MP09;"DISJUNTOR DIN; 16A;1P+N;6,10KA;CDB6HLES-63;ROHS (3010913140)";UN;010108;07; 4,000 ; -   ; 4,000 ; 77,39 ; -   ;LIVOLTEK - VENDAS
3011501610;MP;MP08;DISPOSITIVO ANTI-ROUBO ELETRICO C/FECHADURA 30X20MMCOBRE/ACO INOXNUCLEOABSCHAVEUNIVERSAL(3011501610);UN;010108;31; 407,000 ; -   ; 407,000 ; 818,07 ; -   ;PROJETO COPEL FASE 1
3011800300;MP;MP07;"VENTILADOR TIPO COOLER FAN ;175*150*51;1.9A;24V;66.4DB;354.71;400.0MM;70000HRS AT 40?;ROHS(3011800300)";UN;010108;07; 13,000 ; -   ; 13,000 ; 1.764,00 ; -   ;LIVOLTEK - VENDAS
3011901840;MP;MP04;"BOTAO DE EMERGENCIA; NP4-11ZS/1;RED;38*31*64MM;ROHS (3011901840)";UN;010108;07; 4,000 ; -   ; 4,000 ; 114,24 ; -   ;LIVOLTEK - VENDAS
3012001050;MP;MP09;"DISJUNTOR CAIXA MOLDADA; CDM6H-250M/3308;250.0A;3P;50KA;ROHS (3012001050)";UN;010108;07; 4,000 ; -   ; 4,000 ; 731,13 ; -   ;LIVOLTEK - VENDAS
3012102500;MP;MP08;CONECTOR PARA CABO DE REDE (3012102500);UN;010108;28; 12,000 ; -   ; 12,000 ; 182,22 ; -   ;CDS PROJECTS ENERGY
3012102500;MP;MP08;CONECTOR PARA CABO DE REDE (3012102500);UN;010108;31; 140,000 ; -   ; 140,000 ; 8.104,60 ; -   ;PROJETO COPEL FASE 1
3012103830;MP;MP08;TERMINAL ELETRICO MC4 FEMEA;UN;010108;07; 8.325,000 ; -   ; 8.325,000 ; 12.975,35 ; -   ;LIVOLTEK - VENDAS
3012103860;MP;MP08;CONECTOR MC4 MACHO;UN;010108;07; 9.030,000 ; -   ; 9.030,000 ; 6.998,25 ; -   ;LIVOLTEK - VENDAS
3012103890;MP;MP08;CONECTOR MC4 FEMEA;UN;010108;07; 9.030,000 ; -   ; 9.030,000 ; 7.019,92 ; -   ;LIVOLTEK - VENDAS
3012103900;MP;MP08;TERMINAL ELETRICO MC4 MACHO;UN;010108;07; 8.325,000 ; -   ; 8.325,000 ; 6.487,67 ; -   ;LIVOLTEK - VENDAS
3013200300;MP;MP09;DPS CC LIVOLTEK LSP-40 2P 600V 40KA (LSP-40/2) (3013200300);UN;010108;28; 60,002 ; -   ; 60,002 ; 1.846,27 ; -   ;CDS PROJECTS ENERGY
3013200750;MP;MP06;"DISPOSITIVO DE PROTECAO CONTRA SURTOS (DPS);70.3*99.7*67";UN;010108;07; 4,000 ; -   ; 4,000 ; 221,80 ; -   ;LIVOLTEK - VENDAS
3013400040;MP;MP08;"RELE (CONTATOR) PARA UMA TENSAO DE ATE 400V CONTROLE DA FONTE DE ALIMENTACAO DO MODULO DE CARREGAMENTO;AC 400V;3P; (3013";UN;010108;07; 2,000 ; -   ; 2,000 ; 1.484,34 ; -   ;LIVOLTEK - VENDAS
3013400100;MP;MP08;"RELE (CONTATOR) PARA UMA TENSAO DE ATE 1000V DC;12~1000VDC;CE;ROHS (3013400100)";UN;010108;07; 25,000 ; -   ; 25,000 ; 3.153,58 ; -   ;LIVOLTEK - VENDAS
3013500320;MP;MP08;"FUSIVEL; SEV-43F-1000V;1000V;400.0A;ROHS";UN;010108;07; 1,000 ; -   ; 1,000 ; 74,85 ; -   ;LIVOLTEK - VENDAS
3013500620;MP;MP08;"FUSIVEL PARA UMA TENSAO NAO SUPERIOR A 1000V ;SEV-43F-250/1000;DC;250.0A;ROHS(3013500620)";UN;010108;07; 7,000 ; -   ; 7,000 ; 636,62 ; -   ;LIVOLTEK - VENDAS
3022500339;PI;PI04;BASE DO MODULO ZEUS (3022500339);UN;010108;31; 6.666,000 ; -   ; 6.666,000 ; 1.509,85 ; -   ;PROJETO COPEL FASE 1
3030104490;MP;MP03;PARAFUSO CABECA TIPO PANELA -  M5*8 MM - FENDA CRUZADA - ACO CARBONO 1022 GALVANIZADO (3030104490);UN;010108;31; 3.386,000 ; -   ; 3.386,000 ; 197,74 ; -   ;PROJETO COPEL FASE 1
3030104520;MP;MP03;PARAFUSO CABECA TIPO PANELA, Ø7MM, M5*12 MM, FENDA CRUZADA, ACO CARBONO 1022 GALVANIZADO (3030104520;UN;010108;31; 15.862,000 ; -   ; 15.862,000 ; 463,17 ; -   ;PROJETO COPEL FASE 1
3030106390;MP;MP03;PARAFUSO DE ACO INOXIDAVEL M6 Ø6,5MM (3030106390);UN;010108;28; 10,000 ; -   ; 10,000 ; 9,31 ; -   ;CDS PROJECTS ENERGY
