CODIGO;DESCRICAO;CODIGO TOP MANAGER;CATEGORIA;FAMILIA;NOMENCLATURA;;;;;;;;
GT3-15KDL1R11002;INVERSOR ON-GRID TRIFASICO 15KW 220V 2 MPPT AFCI - GT3-15KDL1-2;;PRODUTO;INVERSOR - GT3;GT3-15KDL1-2;;;;;;;;
GT3-15KD1R11008;INVERSORES PARA SISTEMAS FOTOVOLTAICOS GT3-15KD1R11008;105649;PRODUTO;INVERSOR - GT3;GT3-15KD1R11008;;;;;;;;
105649M;MATÉRIA-PRIMA - GT3-15KD1R11008;105649;MATERIA-PRIMA;INVERSOR - GT3;GT3-15KD1R11008 (MATÉRIA-PRIMA);;;;;;;;
GT3-15KD1R11008;INVERSORES PARA SISTEMAS FOTOVOLTAICOS GT3-15KD1R11008;;PRODUTO;INVERSOR - GT3;;;;;;;;;
GT3-15KD1R11001;INVERSOR FOTOVOLTAICO MODELO GT3-15KD1;;PRODUTO;INVERSOR - GT3;GT3-15KD1;;;;;;;;
GT3-12KD1R11001;INVERSOR TRIFASICO 380V ON-GRID GT3-12KD1;;PRODUTO;INVERSOR - GT3;;;;;;;;;
GT3-125K-1R11101;LIVOLTEK, GRID-TIED INVERTER, 380VAC, 125KW, 10MPPT,SHELL MACHINE;;PRODUTO;INVERSOR;;;;;;;;;
GT3-125K-1R11002;INVERSOR ON-GRID TRIFASICO GT3 -125K-1 380V AFCI;;PRODUTO;INVERSOR - GT3;GT3 -125K-1 380V AFCI;;;;;;;;
GT3-110K-1R11002;INVERSOR ON-GRID TRIFASICO GT3 -110K-1 380V AFCI;;PRODUTO;INVERSOR - GT3;GT3 -110K-1 380V AFCI;;;;;;;;
GT3-100K-1R11002;INVERSOR ON-GRID TRIFASICO GT3 -100K-1 380V AFCI;;PRODUTO;INVERSOR - GT3;GT3 -100K-1 380V AFCI;;;;;;;;
GT1-8KT2R11004;INVERSOR ON-GRID MONOFÁSICO 8KW 220V 3MPPT GT1-8KT2R11004;105604;PRODUTO;INVERSOR - GT1;GT1-8KT2R11004;;;;;;;;
GT1-8KT2R11003;INVERSORES PARA SISTEMAS FOTOVOLTAICOS GT1- 8KT2R11003;;PRODUTO;INVERSOR - GT1;;;;;;;;;
GT1-8KT1R11001;INVERSOR FOTOVOLTAICO MODELO GT1-8KT1;;PRODUTO;INVERSOR - GT1;GT1-8KT1;;;;;;;;
GT1-8K-D;INVERSOR FOTOVOLTAICO GT1-8K-D;;PRODUTO;INVERSOR - GT1;;;;;;;;;
GT1-7K5T2R11002;INVERSOR ON-GRID MONOFASICO GT1-7K5T2R11002 (GT1-7K5T2R11002);105420;PRODUTO;INVERSOR - GT1;GT1-7K5T2R11002 (GT1-7K5T2R11002);;;;;;;;
GT1-6KD2R11008;INVERSORES PARA SISTEMAS FOTOVOLTAICOS GT1-6KD2R11008;104938;PRODUTO;INVERSOR - GT1;GT1-6KD2R11008;;;;;;;;
GT1-6KD1R11001;INVERSOR FOTOVOLTAICO MODELO GT1-6KD1;;PRODUTO;INVERSOR - GT1;GT1-6KD1;;;;;;;;
